zipcode,type,decommissioned,city,state_code,county,world_region,country,latitude,longitude
00501,UNIQUE,0,Holtsville,NY,Suffolk County,,US,40.81,-73.04
00544,UNIQUE,0,Holtsville,NY,Suffolk County,,US,40.81,-73.04
00601,STANDARD,0,Adjuntas,PR,Adjuntas Municipio,,US,18.16,-66.72
00602,STANDARD,0,Aguada,PR,Aguada Municipio,,US,18.38,-67.18
00603,STANDARD,0,Aguadilla,PR,Aguadilla Municipio,,US,18.43,-67.15
00604,PO BOX,0,Aguadilla,PR,,,US,18.43,-67.15
00605,PO BOX,0,Aguadilla,PR,,,US,18.43,-67.15
00606,STANDARD,0,Maricao,PR,Maricao Municipio,,US,18.18,-66.98
00610,STANDARD,0,Anasco,PR,Anasco Municipio,,US,18.28,-67.14
00611,PO BOX,0,Angeles,PR,,,US,18.28,-66.79
00612,STANDARD,0,Arecibo,PR,Arecibo Municipio,,US,18.45,-66.73
00613,PO BOX,0,Arecibo,PR,,,US,18.45,-66.73
00614,PO BOX,0,Arecibo,PR,,,US,18.45,-66.73
00616,STANDARD,0,Bajadero,PR,Arecibo Municipio,,US,18.42,-66.67
00617,STANDARD,0,Barceloneta,PR,Barceloneta Municipio,,US,18.45,-66.56
00622,STANDARD,0,Boqueron,PR,Cabo Rojo Municipio,,US,17.99,-67.15
00623,STANDARD,0,Cabo Rojo,PR,Cabo Rojo Municipio,,US,18.08,-67.14
00624,STANDARD,0,Penuelas,PR,Penuelas Municipio,,US,18.06,-66.72
00627,STANDARD,0,Camuy,PR,Camuy Municipio,,US,18.48,-66.84
00631,PO BOX,0,Castaner,PR,Lares Municipio,,US,18.19,-66.82
00636,PO BOX,0,Rosario,PR,,,US,18.15,-67.06
00637,STANDARD,0,Sabana Grande,PR,Sabana Grande Municipio,,US,18.08,-66.96
00638,STANDARD,0,Ciales,PR,Ciales Municipio,,US,18.33,-66.47
00641,STANDARD,0,Utuado,PR,Utuado Municipio,,US,18.27,-66.7
00646,STANDARD,0,Dorado,PR,Dorado Municipio,,US,18.47,-66.27
00647,STANDARD,0,Ensenada,PR,Guanica Municipio,,US,17.96,-66.94
00650,STANDARD,0,Florida,PR,Florida Municipio,,US,18.36,-66.56
00652,STANDARD,0,Garrochales,PR,Arecibo Municipio,,US,18.45,-66.6
00653,STANDARD,0,Guanica,PR,Guanica Municipio,,US,17.99,-66.89
00656,STANDARD,0,Guayanilla,PR,Guayanilla Municipio,,US,18.02,-66.79
00659,STANDARD,0,Hatillo,PR,Hatillo Municipio,,US,18.48,-66.82
00660,STANDARD,0,Hormigueros,PR,Hormigueros Municipio,,US,18.14,-67.12
00662,STANDARD,0,Isabela,PR,Isabela Municipio,,US,18.5,-67.02
00664,STANDARD,0,Jayuya,PR,Jayuya Municipio,,US,18.22,-66.59
00667,STANDARD,0,Lajas,PR,Lajas Municipio,,US,18.04,-67.06
00669,STANDARD,0,Lares,PR,Lares Municipio,,US,18.29,-66.88
00670,STANDARD,0,Las Marias,PR,Las Marias Municipio,,US,18.27,-67.06
00674,STANDARD,0,Manati,PR,Manati Municipio,,US,18.43,-66.48
00676,STANDARD,0,Moca,PR,Moca Municipio,,US,18.39,-67.11
00677,STANDARD,0,Rincon,PR,Rincon Municipio,,US,18.34,-67.25
00678,STANDARD,0,Quebradillas,PR,Quebradillas Municipio,,US,18.47,-66.93
00680,STANDARD,0,Mayaguez,PR,Mayaguez Municipio,,US,18.2,-67.14
00681,PO BOX,0,Mayaguez,PR,,,US,18.2,-67.14
00682,STANDARD,0,Mayaguez,PR,Mayaguez Municipio,,US,18.22,-67.16
00683,STANDARD,0,San German,PR,San German Municipio,,US,18.08,-67.04
00685,STANDARD,0,San Sebastian,PR,San Sebastian Municipio,,US,18.33,-66.99
00687,STANDARD,0,Morovis,PR,Morovis Municipio,,US,18.32,-66.4
00688,STANDARD,0,Sabana Hoyos,PR,Arecibo Municipio,,US,18.38,-66.62
00690,STANDARD,0,San Antonio,PR,Aguadilla Municipio,,US,18.49,-67.09
00692,STANDARD,0,Vega Alta,PR,Vega Alta Municipio,,US,18.41,-66.32
00693,STANDARD,0,Vega Baja,PR,Vega Baja Municipio,,US,18.44,-66.39
